District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2200.0,3397.0,2223.0,2018-05-21
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3009.0,4659.0,4552.0,2018-01-10
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3091.0,4573.0,3852.0,2018-01-19
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3214.0,3214.0,3214.0,2018-09-20
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3489.0,4612.0,4050.0,2018-01-23
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3589.0,3589.0,3589.0,2018-10-05
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3712.0,4662.0,4187.0,2018-03-19
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3715.0,4910.0,4315.0,2018-02-09
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3809.0,4612.0,4009.0,2018-03-02
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3819.0,4496.0,4158.0,2018-04-25
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3829.0,4431.0,4130.0,2018-04-20
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3829.0,4615.0,4253.0,2018-05-14
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3869.0,4536.0,4203.0,2018-03-14
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3869.0,4622.0,4246.0,2018-03-12
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3872.0,4739.0,4306.0,2018-03-21
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3890.0,5671.0,4781.0,2018-11-28
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3892.0,4581.0,4282.0,2018-03-16
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3909.0,4571.0,4240.0,2018-03-15
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3979.0,3979.0,3979.0,2018-09-25
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3989.0,4463.0,4226.0,2018-03-08
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4022.0,4289.0,4156.0,2018-09-27
Thiruvannamalai,Kilpennathur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4069.0,4521.0,4295.0,2018-04-23
